GalT,GalTRabA,GalTRabB,GalTRabC,GalTRabD,GalTRabE,L1,L1RabA,L1RabB,L1RabC,L1RabD,L1RabE,ProC,ProCRabA,ProCRabB,ProCRabC,ProCRabD,ProCRabE,TfR,TfRRabA,TfRRabB,TfRRabC,TfRRabD,TfRRabE,albumin,albuminRabA,albuminRabB,albuminRabC,albuminRabD,albuminRabE,chol,cholRabA,cholRabB,cholRabC,cholRabD,cholRabE,lipid,lipidRabA,lipidRabB,lipidRabC,lipidRabD,lipidRabE,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,mvb,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,p75,p75RabA,p75RabB,p75RabC,p75RabD,p75RabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
0.0,0.0,0.0,0.0,1005309.65,0.0,0.0,0.0,0.0,0.0,1005309.65,0.0,0.0,0.0,0.0,0.0,6.702064328E7,0.0,0.0,0.0,0.0,0.0,1005309.65,0.0,0.0,0.0,0.0,0.0,6.702064328E7,0.0,0.0,0.0,0.0,0.0,1005309.65,0.0,0.0,0.0,0.0,0.0,1005309.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005309.65,0.0,0.0,2732.04,2689.15,3153.68,8727.46,7203.21,0.0,0.0,0.0,0.0,1.0,0.0,
0.0,167508.0,2510.79,951.2,834339.67,0.0,0.0,167508.0,2510.79,951.2,834339.67,0.0,0.0,251464.4,269256.47,222471.16,6.627745124E7,0.0,0.0,167508.0,2510.79,951.2,834339.67,0.0,0.0,7839938.92,222654.52,157311.62,5.880073821E7,0.0,0.0,537913.2,2383.83,0.0,465012.61,0.0,0.0,552076.58,2383.83,0.0,450849.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167508.0,2510.79,951.2,834339.67,0.0,0.0,2948.45,2719.64,3207.47,8421.03,7208.95,0.0,0.0,0.0,0.0,0.99,0.0,
0.0,127723.46,55504.37,951.2,821130.62,0.0,0.0,171830.39,10722.23,1196.24,821560.79,0.0,0.0,374486.19,400982.53,331308.83,6.591386573E7,0.0,0.0,171830.39,10722.23,1196.24,821560.79,0.0,0.0,7769994.93,701126.38,232476.38,5.831704558E7,0.0,0.0,526318.71,25018.99,664.85,453307.09,0.0,0.0,539785.18,25662.96,684.06,439177.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171830.39,10722.23,1196.24,821560.79,0.0,18.25,2932.1,2787.31,3138.15,8383.88,7264.09,0.0,0.01,0.01,0.0,0.98,0.0,
0.0,131225.55,61818.66,6178.02,795475.63,10611.78,0.0,175337.93,17036.66,6795.32,794772.19,11367.55,0.0,374486.19,400982.53,331308.83,6.591386573E7,0.0,0.0,175337.93,17036.66,6795.32,794772.19,11367.55,0.0,7855379.45,863151.93,343910.98,5.77265529E7,231648.01,0.0,504812.52,31698.07,6047.76,451822.6,10928.69,0.0,514071.41,32237.94,6066.98,442004.62,10928.69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175337.93,17036.66,6795.32,794772.19,11367.55,40.91,2934.52,2787.68,3179.59,8377.88,7225.86,0.0,0.01,0.01,0.0,0.98,0.0,
0.0,151885.24,80566.68,17785.71,743239.5,11832.52,0.0,177453.91,38858.33,5977.52,766970.35,16049.55,0.0,374486.19,400982.53,331308.83,6.591386573E7,0.0,0.0,177453.91,38858.33,5977.52,766970.35,16049.55,0.0,7073027.04,1731093.78,516800.83,5.744666443E7,253057.19,0.0,389291.99,81723.09,14163.9,509233.05,10897.62,0.0,397157.1,79631.99,14063.7,503535.99,10920.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177453.91,38858.33,5977.52,766970.35,16049.55,68.0,2775.33,2841.99,3101.19,8500.45,7286.58,0.0,0.01,0.01,0.0,0.98,0.0,
0.0,40147.63,229328.7,13547.46,698523.98,23761.88,0.0,186639.43,44924.73,8827.87,733290.09,31627.52,0.0,374486.19,400982.53,331308.83,6.591386573E7,0.0,0.0,187753.7,46626.25,6336.11,730373.64,34219.95,0.0,7743938.6,1887267.4,586012.22,5.615298072E7,650444.34,0.0,461705.33,93536.03,17683.38,419964.83,12420.09,0.0,472331.31,91544.79,17514.82,412674.29,11244.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187721.3,45129.59,8769.17,730373.64,33315.96,166.0,2819.26,2796.12,3127.64,8376.48,7386.03,0.0,0.01,0.01,0.0,0.98,0.0,
0.0,48834.21,246588.88,6636.12,694424.91,8825.53,0.0,177134.56,42065.74,10890.41,732106.43,43112.51,0.0,374486.19,400982.53,331308.83,6.591386573E7,0.0,0.0,177257.64,42922.5,8466.2,729190.68,47472.62,0.0,7622648.47,1864666.28,609487.65,5.616421099E7,759629.89,0.0,477919.53,91711.26,17784.19,404967.69,12926.98,0.0,493848.04,89640.73,17623.02,392430.57,11767.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177181.94,42083.41,10867.45,729190.68,45986.17,269.34,2731.27,2773.72,3130.12,8364.21,7506.22,0.0,0.01,0.01,0.0,0.98,0.0,
0.0,61958.47,201472.81,31134.5,687182.42,23561.44,0.0,172049.04,44925.56,29477.98,722741.47,36115.61,0.0,374486.19,400982.53,331308.83,6.591386573E7,0.0,0.0,172233.63,49070.22,20053.19,719828.44,44124.16,0.0,7407441.4,1951056.48,1067537.22,5.594234103E7,652267.16,0.0,438313.56,96500.46,44998.93,409136.74,16359.96,0.0,452163.77,94561.28,45024.03,397787.64,15772.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172077.54,48715.18,21663.3,719825.12,43028.5,417.69,2846.96,2723.09,3032.87,8365.08,7537.55,0.0,0.01,0.01,0.0,0.98,0.0,
0.0,132867.38,230181.05,42914.19,591048.62,8298.41,0.0,202875.49,90694.09,56058.15,610574.36,45107.55,0.0,1.884599434E7,1.088459951E7,6392907.58,3.031739631E7,579745.53,0.0,201687.39,90850.59,43320.27,609751.06,59700.34,0.0,1.831047632E7,9413620.82,5563392.57,3.263507514E7,1098078.43,0.0,302508.88,101424.81,51189.53,532774.27,17412.16,0.0,310150.36,97588.54,56873.73,523995.46,16701.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201479.47,90772.77,44467.55,609633.74,58956.12,610.98,4196.61,3440.03,3388.66,5796.81,7683.43,0.0,0.28,0.16,0.1,0.45,0.01,
0.0,137393.68,185275.13,79841.59,591048.62,11750.63,0.0,199139.71,87626.44,62651.13,610574.36,45318.01,0.0,2.001463293E7,1.155955264E7,6789331.27,2.804143094E7,615695.51,0.0,197426.57,84897.9,53976.35,609751.06,59257.77,0.0,1.879285927E7,9620368.29,6038014.47,3.142872917E7,1140672.08,0.0,296066.93,95407.18,72269.01,522200.53,19365.99,0.0,303271.18,92956.84,76820.03,513640.01,18621.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197300.18,84879.69,54595.23,609633.74,58900.81,626.71,4318.15,3473.46,3438.96,5572.36,7702.6,0.0,0.3,0.17,0.1,0.42,0.01,
